"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"6421149754","640380","13940","08 фев 2022 11:54","50:34","3034","34-47","34,47","Dire","Lilgun","Hishgee, Ace12, elevennN, Sanctity-, X123","Polaris Esports","Cml, Mac, Boombacs, Nikko, Natsumi-"
"6421079353","640380","13940","08 фев 2022 10:50","37:48","2268","44-5","44,5","Radiant","Lilgun","Hishgee, Ace12, elevennN, Sanctity-, X123","Polaris Esports","Cml, Mac, Boombacs, Nikko, Natsumi-"
"6421020906","640380","13940","08 фев 2022 10:00","28:54","1734","10-33","10,33","Dire","Lilgun","Hishgee, Ace12, elevennN, Sanctity-, X123","Polaris Esports","Cml, Mac, Boombacs, Nikko, Natsumi-"
"6420663364","640282","13940","08 фев 2022 02:49","33:57","2037","37-23","37,23","Radiant","DogChamp","Bloody Nine, yarin, Lukiluki, RayLalisa, StoneBank","Simply TOOBASED","Monster, Boris, Ryoya, EmpyreaN, FLee"
"6420618903","640282","13940","08 фев 2022 01:36","42:07","2527","33-22","33,22","Radiant","DogChamp","Bloody Nine, yarin, Lukiluki, RayLalisa, StoneBank","Simply TOOBASED","Monster, Boris, Ryoya, EmpyreaN, FLee"
"6420570067","640282","13940","08 фев 2022 12:19","46:35","2795","28-57","28,57","Dire","DogChamp","Bloody Nine, yarin, Lukiluki, RayLalisa, StoneBank","Simply TOOBASED","Monster, Boris, Ryoya, EmpyreaN, FLee"
"6420510200","640268","13940","07 фев 2022 10:59","45:39","2739","33-44","33,44","Dire","Arkosh Gaming","Capitalist, Crow, Pale Horse, Monkey, Forsaken Oracle","The Cut","Scourge McDuck, Giant, Kitzz, pingu, Dnm"
"6420462000","640268","13940","07 фев 2022 10:08","27:08","1628","3-27","3,27","Dire","Arkosh Gaming","Capitalist, Crow, Pale Horse, Monkey, Forsaken Oracle","The Cut","Scourge McDuck, Giant, Kitzz, pingu, Dnm"
"6420259051","640207","13379","07 фев 2022 07:34","44:49","2689","37-19","37,19","Radiant","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight","Pari Parni","9pasha, Fng, RodjER, Yatoro, Depressed kid"
"6420178047","640179","13379","07 фев 2022 06:35","34:15","2055","15-43","15,43","Dire","Pari Parni","9pasha, Fng, RodjER, Yatoro, Depressed kid","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don"
"6420122690","640168","13379","07 фев 2022 06:08","57:58","3478","48-56","48,56","Dire","Unique","BLACKARXANGEL, Mannik, LastHero, y0nd, Licht `","Brame","SkyLark, SsaSpartan, ThuG, dEsire, Focus"
"6420087622","640156","13379","07 фев 2022 05:34","33:42","2022","18-43","18,43","Dire","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight"
"6419970145","640130","13379","07 фев 2022 04:30","31:18","1878","11-24","11,24","Dire","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight","Pari Parni","9pasha, Fng, RodjER, Yatoro, Depressed kid"
"6419831262","640115","13379","07 фев 2022 03:08","55:29","3329","51-53","51,53","Dire","Pari Parni","9pasha, Fng, RodjER, Yatoro, Depressed kid","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don"
"6419712596","640091","13379","07 фев 2022 02:01","41:24","2484","22-40","22,40","Dire","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight"
"6419634500","640074","13940","07 фев 2022 01:11","22:29","1349","39-11","39,11","Radiant","Team Orca","VtFαded, Yif, 闷油瓶, Gy, citrus","KOBOLDS","Brainac, Fearlssla, Skaði, Mudi, FortuneSoul"
"6419617007","640081","13379","07 фев 2022 01:02","29:41","1781","27-12","27,12","Radiant","Winstrike Team","Larl, SoNNeikO, Daxak, Noticed, Forcemajor","Nemiga Gaming","Lodine, Haaven, Kiritych~, Ainkrad, TheChosenOne"
"6419556717","640074","13940","07 фев 2022 12:19","26:14","1574","25-13","25,13","Radiant","Team Orca","VtFαded, Yif, 闷油瓶, Gy, citrus","KOBOLDS","Brainac, Fearlssla, Skaði, Mudi, FortuneSoul"
"6419527047","640071","13379","07 фев 2022 12:00","36:08","2168","26-45","26,45","Dire","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Nemiga Gaming","Lodine, Haaven, Kiritych~, Ainkrad, TheChosenOne"
"6419467813","640061","13940","07 фев 2022 11:07","33:15","1995","34-11","34,11","Radiant","Motivate.Trust Gaming","Toy, Boombell, Fearless, Masaros, Q","Yangon Galacticos","ShØwT, ZawRain, Skill lay, Young PH, Hao"
"6419451646","640066","13379","07 фев 2022 11:00","35:20","2120","28-23","28,23","Radiant","Winstrike Team","Larl, SoNNeikO, Daxak, Noticed, Forcemajor","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze"
"6419389790","640061","13940","07 фев 2022 10:02","34:37","2077","10-33","10,33","Dire","Yangon Galacticos","ShØwT, ZawRain, Skill lay, Young PH, Hao","Motivate.Trust Gaming","Boombell, Fearless, Masaros, Q, 23savage"
"6419010574","639955","13940","07 фев 2022 02:41","32:26","1946","35-14","35,14","Radiant","Tempest","LeoStyle-, Kōtarō, Mjz, MoOz, Frank","Hokori","Gardick, Mr.Jeans, Vitaly, OmaR, Yuma"
"6418979038","639955","13940","07 фев 2022 01:45","28:49","1729","35-16","35,16","Radiant","Tempest","LeoStyle-, Kōtarō, Mjz, MoOz, Frank","Hokori","Gardick, Mr.Jeans, Vitaly, OmaR, Yuma"
"6418930394","639955","13940","07 фев 2022 12:35","43:12","2592","22-36","22,36","Dire","Tempest","LeoStyle-, Kōtarō, Mjz, MoOz, Frank","Hokori","Gardick, Mr.Jeans, Vitaly, OmaR, Yuma"
"6418850667","639928","13940","06 фев 2022 10:53","48:37","2917","40-31","40,31","Dire","Infinity","Papita, Prada, Pamplona, PiPi, Parker","No Runes","NUAGES, mini, Sexyfat, Benny, jupiter"
"6418786646","639928","13940","06 фев 2022 09:57","29:13","1753","23-10","23,10","Radiant","No Runes","NUAGES, mini, Sexyfat, Benny, jupiter","Infinity","Papita, Prada, Pamplona, PiPi, Parker"
"6418469733","639777","13379","06 фев 2022 06:15","37:52","2272","18-33","18,33","Dire","Pari Parni","9pasha, Fng, RodjER, lelouch, Depressed kid","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6418345355","639777","13379","06 фев 2022 05:07","36:09","2169","40-17","40,17","Radiant","Pari Parni","9pasha, Fng, RodjER, lelouch, Depressed kid","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6418224225","639777","13379","06 фев 2022 04:00","44:42","2682","22-19","22,19","Radiant","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya","Pari Parni","9pasha, Fng, RodjER, lelouch, Depressed kid"
"6418018334","639720","13940","06 фев 2022 02:12","30:53","1853","27-5","27,5","Radiant","Lilgun","Hishgee, Ace12, elevennN, Sanctity-, X123","Army Geniuses","Varizh, db-, Azur4, womy, Hustla"
"6417986814","639714","13379","06 фев 2022 02:03","29:51","1791","23-9","23,9","Radiant","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight"
"6417896671","639720","13940","06 фев 2022 01:06","33:09","1989","30-11","30,11","Radiant","Lilgun","Hishgee, Ace12, elevennN, Sanctity-, X123","Army Geniuses","Varizh, db-, Azur4, womy, Hustla"
"6417880661","639714","13379","06 фев 2022 01:02","31:30","1890","14-26","14,26","Dire","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don"
"6417789907","639669","13940","06 фев 2022 12:03","33:27","2007","24-45","24,45","Dire","M Y","LionaX, Seri, BeeBie, Kanom``Pang, Stylist","Polaris Esports","Cml, Mac, Boombacs, Nikko, Natsumi-"
"6417703614","639669","13940","06 фев 2022 11:02","38:22","2302","27-17","27,17","Dire","M Y","LionaX, Seri, BeeBie, Kanom``Pang, Stylist","Polaris Esports","Cml, Mac, Boombacs, Nikko, Natsumi-"
"6417694733","639668","13379","06 фев 2022 11:02","34:51","2091","17-36","17,36","Dire","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe","Nemiga Gaming","VANSKOR, Haaven, Kiritych~, Ainkrad, TheChosenOne"
"6417613949","639669","13940","06 фев 2022 10:02","35:05","2105","33-20","33,20","Radiant","M Y","LionaX, Seri, BeeBie, Kanom``Pang, Stylist","Polaris Esports","Cml, Mac, Boombacs, Nikko, Natsumi-"
"6417608904","639668","13379","06 фев 2022 10:00","32:31","1951","33-18","33,18","Radiant","Nemiga Gaming","VANSKOR, Haaven, Kiritych~, Ainkrad, TheChosenOne","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe"
"6417135889","639586","13940","06 фев 2022 01:52","39:39","2379","18-42","18,42","Dire","DogChamp","Bloody Nine, Jubei, Lukiluki, RayLalisa, StoneBank","The Cut","Scourge McDuck, Giant, Kitzz, pingu, Dnm"
"6417070230","639573","13940","06 фев 2022 12:25","57:47","3467","36-30","36,30","Radiant","The Cut","Scourge McDuck, Giant, Kitzz, pingu, Dnm","DogChamp","Bloody Nine, Jubei, Lukiluki, RayLalisa, StoneBank"
"6416998266","639546","13940","05 фев 2022 11:10","39:36","2376","38-34","38,34","Radiant","Arkosh Gaming","Crow, Pale Horse, Gremlo, Monkey, Forsaken Oracle","Simply TOOBASED","Monster, Boris, Ryoya, EmpyreaN, FLee"
"6416922622","639546","13940","05 фев 2022 10:07","24:01","1441","29-7","29,7","Radiant","Arkosh Gaming","Crow, Pale Horse, Gremlo, Monkey, Forsaken Oracle","Simply TOOBASED","Monster, Boris, Ryoya, EmpyreaN, FLee"
"6416749960","639492","13379","05 фев 2022 08:10","41:53","2513","21-42","21,42","Dire","B8","Dendi, LagooNa, Gatciy, kenny, Mc314","Winstrike Team","Larl, SoNNeikO, Illusion, Daxak, Noticed"
